product_id,name,category,price
501,Always,Fashion,359.92
502,Spring,Home,441.16
503,Quickly,Home,292.42
504,Political,Electronics,387.58
505,Hand,Home,313.55
506,Tough,Electronics,137.28
507,Brother,Electronics,198.26
508,Police,Fashion,352.0
509,Way,Books,50.72
510,Child,Fashion,366.9
511,That,Books,332.44
512,Rich,Electronics,110.62
513,Material,Home,370.07
514,Painting,Home,167.79
515,Seven,Home,244.1
516,Summer,Home,167.6
517,Career,Home,453.91
518,Read,Books,422.41
519,Strong,Fashion,459.25
520,City,Home,245.48
521,Building,Home,255.86
522,Watch,Books,95.06
523,Party,Electronics,190.84
524,Fact,Books,116.22
525,Appear,Books,435.3
526,Mr,Books,287.7
527,Tax,Home,296.47
528,Human,Home,429.82
529,Keep,Books,174.38
530,Likely,Electronics,90.48
531,War,Electronics,198.23
532,Small,Books,379.93
533,Reflect,Books,287.52
534,Develop,Electronics,280.24
535,Describe,Fashion,332.72
536,Remain,Home,190.72
537,Kitchen,Home,176.0
538,Strategy,Electronics,118.23
539,Old,Electronics,414.46
540,Court,Fashion,178.05
541,Guy,Home,379.27
542,Democratic,Electronics,132.13
543,Least,Books,170.77
544,Wall,Home,390.31
545,Trouble,Electronics,24.38
546,Have,Home,497.23
547,Yourself,Electronics,363.93
548,Little,Electronics,416.24
549,Conference,Electronics,453.6
550,Quite,Fashion,460.25
