order_id,customer_id,product_id,order_date,order_value
,1089,548,14-08-2023,1516.32
e0d93e07-6195-4b2b-a154-6e0871af17c6,1039,550,22-11-2024,1709.77
ea457bbc-2604-4e13-888a-fd87a15c24a9,1068,547,10-03-2023,1481.7
679d99d9-bc12-4bea-8e60-64078a12f27a,1068,527,01-04-2023,476.41
4476d48a-05d8-4418-b11e-271b18a86218,1073,548,06-12-2023,173.01
b7a486c3-5c30-433d-80be-ff08b0887b17,1016,517,01-06-2023,1429.97
cfcf02ae-aeaf-4ec3-93d2-0a7fb2d995ea,1024,538,09-12-2024,505.28
af17a695-b46b-42e9-a9b5-a3b4be4b1495,1024,548,29-03-2023,1371.81
42c82b69-05ba-4dce-becb-c92f6330e786,1006,507,06-01-2024,1128.13
a7af6ff5-fe82-4e95-8c36-7d1480403c02,1064,518,09-08-2023,395.21
9034f8eb-1c42-4682-95f5-235b5bbbc20e,1045,517,10-11-2023,1661.08
b209ce53-8a78-46b2-957b-8ced57078316,1046,531,22-11-2024,741.63
2713e0c8-fbce-4dbc-8512-e8ebd08620ed,1004,545,01-06-2023,1135.85
9adea11a-a667-43e2-8dda-359c3697c1ca,1014,544,28-02-2024,131.28
b930ce7a-84fe-4a9a-ba38-b29c8bc9d5d0,1001,533,26-10-2024,542.76
f02fdaa0-9e3b-47c9-9ebc-04a2c81d472f,1094,549,26-02-2024,1901.29
386e6fb3-9eee-4682-acc7-c5c9e5ce0a2a,1024,513,31-10-2023,902.48
975a9ae3-a0ca-4bf9-b5b1-1cbb4da491ea,1028,516,20-10-2023,1743.15
51c67686-3800-42ce-8ac5-89e27780a3cf,1012,537,28-11-2023,1116.1
a547f6ab-530c-4057-88fd-17f32172ec42,1023,537,09-06-2023,1900.14
b7e1753e-fbb1-4f07-9765-d067fae329b4,1065,518,28-05-2023,599.47
ecc0ed95-73ec-4951-a672-1042bef700c8,1069,538,05-02-2023,1925.98
1cb6df97-3cc5-4dc6-a954-6b21e6350836,1028,527,26-07-2024,1783.81
3792d884-9be7-4cfd-9c66-a2944f813c1c,1003,508,14-07-2024,838.12
2532862c-a710-4420-b14f-499d4e1d068e,1047,506,17-04-2024,1922.69
3a383bb7-c12e-463f-9ab7-edea719fa715,1008,536,24-04-2024,530.24
55d50f3e-1eea-4400-a0f1-fd43c7f0b4b5,1056,523,07-09-2023,493.28
ce49d966-1252-494a-80a6-4bc5a732d73b,1098,544,14-01-2024,335.53
9cb4d9b8-8fe5-4b5a-9613-729405856e3c,1029,549,27-05-2024,1450.05
b9c5e232-3e34-43fd-9242-287f7f11c2d8,1010,528,02-09-2024,1135.28
f369accc-0e69-41ef-8a05-d4c389ce82fd,1074,539,21-10-2023,719.66
541349bd-2427-407c-9a5a-bf2ee3b63271,1049,513,09-10-2023,1342.78
5a920e84-400d-405d-8c56-ccbe74e14c6b,1073,532,06-02-2025,233.88
8439ff4e-a95e-4b3b-8ad4-8bb7bbce760b,1033,535,12-05-2023,1637.17
788524c4-efad-4017-9297-b2d6187b056e,1074,535,17-11-2023,1619.16
d132e0c4-c639-4d18-afe1-bcd0d271bfad,1055,516,24-10-2023,1444.68
3a3b95c3-1ea5-4247-ad29-0ae68b698412,1053,515,07-08-2024,1763.26
8e1168b8-b717-4108-92ae-27ca42d31f90,1050,545,03-02-2023,689.86
a7fe5af9-807e-4a9b-b909-6a7d72f587e0,1055,531,02-02-2024,88.73
cfed420c-0ebf-4b9d-b57d-dc669e354d41,1005,540,23-09-2023,772.85
f9f5c7ee-87a4-4106-87fc-bf3ee55c8894,1004,529,16-04-2023,380.56
77f367f8-2d27-481c-a66b-3e0311a8a9aa,1027,538,17-10-2023,1846.05
b4111e12-2de5-4425-a710-382beafe8d16,1086,550,04-05-2024,322.56
ec35a50a-6db8-42b6-8c28-885e5a8083e2,1098,547,22-10-2023,717.46
7b8f8a9d-cd6f-4db2-9907-9ebe74edb3e7,1054,511,10-12-2024,1354.88
9d4a7c41-055f-40ff-8746-b11445290543,1055,537,20-02-2024,688.88
a802a4b6-32ae-4bc2-91d9-551e8a4db062,1064,534,16-04-2024,26.85
8b15092e-fb86-461c-b297-17456ff82140,1031,539,12-12-2023,1152.96
7374c575-2167-40c5-9cfc-aa3326fb77cd,1095,546,25-03-2025,450.93
75299769-c9d3-428f-9b29-2317d99190fe,1070,516,14-01-2025,1134
1e26e599-a78b-4fbe-b320-6b8183405fad,1091,540,03-02-2023,332.87
f2e70442-9577-4fae-a9bb-41e8cd70145d,1065,523,02-11-2023,747.69
7c9f0bb7-c81a-4758-bf21-2cd36351280a,1060,507,23-11-2024,1875.52
7520afcf-8bfc-4362-ae4a-2db4404462a3,1012,520,27-09-2024,48.52
2d6ed5a9-18f0-4c8c-9b90-3ce78f11565f,1090,530,09-03-2023,318.39
f0d494d0-8675-4dc3-b675-742d6f839b44,1046,535,26-02-2025,696.68
2435e8b3-e048-4e9d-bdbb-559bbe1d7840,1018,537,13-04-2024,1374.38
cd89c7f8-1254-4fa3-9805-1215c6bc496b,1018,505,22-06-2023,636.85
fb32f4d7-69a5-480d-8e1c-125e0c0fc4b4,1040,511,16-08-2023,1474.88
87e801e4-c37c-4172-b4dc-cb7a7ef93b3d,1087,520,24-11-2023,532.46
ca4ceafb-b4d7-43fc-93a3-5270a17d2469,1080,528,29-06-2023,678.58
2aa24d21-b6c0-4aa1-b09e-c9933b53f049,1094,526,30-05-2024,823.39
d26548f5-5a9c-4770-be87-a70066cfd16e,1009,508,08-07-2023,132.79
8b06e3c1-e13b-43e7-9660-b03692bdd0a4,1035,518,06-10-2023,1343.39
ab07e7ea-2a87-495d-8ff8-448a20d74f21,1092,547,02-02-2024,1863.26
57fb910d-69a9-4223-9a8e-056027f456c6,1038,541,29-09-2023,1645.07
7bacd7f2-2bdd-4be0-b384-fd06ef36f04f,1085,534,13-02-2024,1645.56
ae149dd7-870a-4475-a819-5fa13aad0013,1074,503,07-04-2025,447.12
4b18dfa7-b139-4d08-b686-bb2dfc237de3,1086,539,16-06-2023,1980.55
688c7848-653b-4936-82ed-8d53a427688e,1037,519,08-11-2023,980.74
7f78be97-7dbc-4c4d-80d1-488f3b345535,1034,542,21-10-2024,632.39
947c6144-0b65-4bd4-b035-be20314b475d,1087,527,13-02-2024,341.76
d35df93b-e80d-42ed-95eb-2dbdf3f83c7d,1007,511,13-01-2023,895.65
97cc5bb5-c8b8-450b-80d4-e058d21fb1eb,1027,533,26-04-2023,820.45
9920db14-a684-4445-a128-6a3e5f3c3556,1022,520,31-07-2023,1083.36
55d16d58-e59c-409f-9896-b2121e9bee29,1068,536,23-04-2024,380.91
a11a7dce-6e5d-4433-b62f-e081817bc66f,1071,540,25-07-2024,188.39
bd0ef420-e50c-43cf-acef-6579c5f62437,1079,523,16-03-2025,1571.97
d1fd90a0-1eb5-4056-a660-38fc60c97cd0,1078,521,16-07-2023,1547.27
9c2df0d8-cec9-4361-98a5-92598175133f,1070,504,24-02-2025,1644.29
529aa10e-cb49-4432-bfe9-d4f424f23d74,1007,535,11-06-2023,1911.68
d11c4559-f36f-47e1-93fc-e37a32a053c9,1044,501,06-07-2023,346.25
77ab6d05-72ee-48f9-8898-70c41adefe7e,1011,523,30-01-2024,1266.31
cf0ef9d7-970c-468c-9b0d-602cefdfe94f,1008,514,11-10-2023,662.09
8574c7cb-fa73-428a-87dc-d05a2bb5096a,1084,547,21-05-2023,1430.08
3cfdf195-6c2b-47b0-9d56-a456a2786828,1054,520,28-07-2023,541.84
1ed75f22-3cf3-48b9-b164-b85deea8e638,1013,540,02-08-2024,1027.06
e3a3f831-b41a-4ec4-be46-60219e99502a,1006,512,17-05-2024,1180.4
aeaf1bf8-14c0-4eeb-be9f-b9d328771ab9,1050,523,30-01-2025,1372.18
5fc04cb5-ef49-410e-a3b9-fb93ab0c50c5,1036,518,29-11-2024,1111.37
1d522c2c-40c4-4720-9a2e-9ec9871499f6,1079,508,24-01-2024,611.13
ff886dc9-64d1-41f6-ab18-e269a024a4ce,1059,540,30-07-2024,1119.72
27901ee3-7693-4a2c-96ed-9b6302ccecb5,1050,522,09-08-2023,1600.68
e48af99f-89a7-4702-b8c2-d3bfa8eb3e0f,1052,524,28-06-2024,584.82
101982d2-9c49-436f-958f-9b4cf3bab00a,1008,539,09-01-2024,1805.07
cd217151-026b-4719-a80e-45dc3f0b26c3,1036,505,25-04-2023,1878.22
f88f61ac-7592-4554-8fcc-6300adc985b0,1033,504,06-01-2023,510.24
6ff35dc8-bb23-4685-85c1-a7fc3d0c0330,1047,520,07-03-2024,1987.96
c2580d83-419a-4e5c-9ea8-3785e7604145,1098,523,02-01-2025,1198.72
018e18d9-19e8-4eea-a355-283040ef813b,1036,519,01-12-2024,1702.53
3c750046-0b5e-4730-8143-41b264b3c036,1011,533,02-10-2024,413.52
06867c30-97b7-4625-9865-337eec6a03a8,1085,505,16-11-2024,1734.36
2553220a-6743-4b34-b597-797e9ace3b66,1024,527,10-01-2024,543.96
4182e659-c0d8-433b-904e-6c803b2b5554,1058,528,24-08-2024,1048.57
3919b0dc-b920-4ecd-b55f-d250658308df,1008,548,22-06-2023,1874.11
6febe0f6-64fd-4c54-8585-3736d502f1e6,1040,518,20-05-2023,1281.54
1b2b87be-1bc8-49e1-aad7-2d8deec1c788,1018,543,03-11-2023,1695.32
13cc5cab-0e39-443c-92f4-46e83db8b52b,1041,531,24-11-2024,1320.78
de7282d2-fc2d-49cd-8afc-ef8cfbb876b1,1046,504,19-10-2024,1763.45
7b36e776-e849-4545-8541-273d1b630678,1097,547,24-04-2024,688.93
bc2410a7-310f-4ad3-b07c-893f61f02666,1005,513,16-12-2024,1096.03
6578614b-5a6e-422d-9339-2804442a87f2,1084,540,15-04-2024,385.12
ce2964c1-75cd-4fc5-ae8e-90ea111bee83,1069,507,23-11-2023,166.3
c8fd81ad-c0ab-45e8-906b-0f567f9d9455,1076,542,05-08-2023,746.65
ff1d9c9a-35d2-4355-82c1-816023023c89,1004,531,29-05-2023,313.39
8ae46de5-2bed-4d94-8681-3abac0507d52,1073,539,19-10-2024,1354.27
75141cef-67c3-4b9d-b198-4891d899fe89,1037,507,06-11-2023,925.22
601fe982-3102-4753-9472-eef18c3780eb,1040,503,09-05-2024,166.75
e65c4770-1f56-401f-bc8f-515bec74f846,1044,513,08-11-2024,628.94
c72cc904-c128-421c-a8fd-ff084b7d2127,1083,519,16-10-2023,957.3
bce9c34a-7200-4c16-9319-b916b46f0820,1091,550,19-05-2024,678.09
f23b4b87-cfb0-4fa6-81f4-0f280665af58,1045,508,19-12-2024,1807.75
b0d28df9-4606-42c1-8341-cd96f603d459,1062,516,17-10-2023,113.57
0a6e1dc0-93d4-4911-8b7d-a527b64d1415,1030,501,01-05-2023,576.24
df98bd8b-4a32-40d7-aafd-ad9a022914b6,1004,504,14-06-2024,1781.36
5d28b209-8792-4d1a-a929-3e2a660294c4,1037,504,22-12-2023,759.94
b3297abd-b826-48da-888c-2d11b5fdd5b8,1003,520,20-02-2024,998.39
d124c1de-a8b2-4d25-ad38-974d52544313,1027,513,18-10-2023,672.76
5bb3dc57-3e61-4fab-b129-6e4c3b91b119,1060,547,29-07-2023,187.15
6dc9f28a-965d-4e0f-9ae1-8596a09943a8,1051,535,30-08-2023,1032.85
31a97ca4-3d57-45a7-8854-462409032d82,1088,524,22-04-2024,1835.28
c4d9e061-54e0-4105-88ad-156e68b4087b,1092,501,14-07-2024,1763.77
d3feb7b5-3ea8-4d8c-991d-b8f34856d5fb,1015,506,03-07-2023,1415.05
904ae400-f37b-4b15-9df8-952d0280fd67,1084,520,04-03-2025,157.37
c896e4ac-0848-4202-b647-237c12f5bdf3,1084,550,17-12-2023,1106.12
b6332e6b-f3dc-432c-be52-ee36bab9b66e,1090,501,14-01-2025,230.97
3fa4361e-6b0f-4034-9d34-00033cfe682c,1001,525,22-06-2024,486.45
09baabf8-5357-431b-a407-94d9e3a5ae2b,1071,543,08-04-2023,493.16
cf7107b3-b055-40f1-be39-6bbb39e1a6b2,1035,509,15-07-2023,1076.54
d3636f8a-289d-4bcc-9480-6dd8f50e19f7,1016,533,23-01-2023,720.01
b5b2dd90-ba9c-4ae2-b98a-22c86a8b4482,1011,521,29-10-2024,505.81
af079cc5-539b-4f63-b464-3891f2c5aaeb,1002,540,17-10-2023,316.38
25e0ed0d-7297-4105-869e-088af96c32ff,1066,519,23-05-2023,1089.54
d96ef620-bcdf-4de7-8d04-0091b14ced14,1083,515,19-01-2025,1079.33
50fc7079-459f-4fab-9cc6-4cf62c13cad8,1045,550,03-11-2024,679.8
0956c8df-42dd-4cfd-bdef-f2421d71688c,1093,513,01-03-2025,1268.08
